Perceived_Hearing_Meaning,Hearing_FOMO,Hearing_Test_Barrier,Missed_Important_Sounds,Left_Out_Due_To_Hearing,Daily_Headphone_Use,Belief_Early_Hearing_Care,Last_Hearing_Test_Method,Interest_in_Hearing_App,Desired_App_Features,Awareness_on_hearing_and_Willingness_to_invest,Paid_App_Test_Interest,Age_group,Ear_Discomfort_After_Use
Staying connected with the world,Sometimes,Cost,"Yes, during important work or school meetings",Sometimes,Less than 1 hour,5,At a hospital or clinic,"Maybe, if it's easy to use",Personalized volume adjustments,No,"No, I prefer getting tested at a hospital",45 - 54,Yes
Staying connected with the world,Never,Lack of awareness,"No, I usually hear things well",Only in noisy places,Less than 1 hour,5,Mobile app,"No, I don't think it's necessary",Report sharing options,Yes,"Maybe, if it offers good value",45 - 54,Not sure
I havenâ€™t thought about it much,Never,Lack of awareness,"No, I usually hear things well",Never,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use",Quick tests,Yes,"Maybe, if it offers good value",45 - 54,No
Staying connected with the world,Sometimes,Lack of awareness,"Iâ€™m not sure, but I have felt disconnected",Sometimes,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Detailed report generation, Personalized volume adjustments",Yes,"Maybe, if it offers good value",35 - 44,Occasionally
I havenâ€™t thought about it much,Never,Not necessary,"No, I usually hear things well",Only in noisy places,Less than 1 hour,3,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Detailed report generation, Doctor consultation",Yes,"No, I prefer getting tested at a hospital",45 - 54,No
I havenâ€™t thought about it much,Rarely,Never thought about it,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,1-2 hours,3,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation",Yes,"Maybe, if it offers good value",18 - 24,Occasionally
Staying independent and alert,Yes often,I frequently testing by every six months,"Yes, during important work or school meetings","Yes, often",1-2 hours,5,At a hospital or clinic,"No, I don't think it's necessary","Quick tests, Regular testing reminders, Soft guidance",Yes,"No, I prefer getting tested at a hospital",45 - 54,Yes
"Enjoying music, laughter, and life",Sometimes,Lack of awareness,"Yes, during important work or school meetings",Only in noisy places,1-2 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Regular testing reminders, Soft guidance",No,"No, I prefer getting tested at a hospital",18 - 24,Occasionally
I havenâ€™t thought about it much,Never,Lack of awareness,"No, I usually hear things well",Never,Less than 1 hour,5,At a hospital or clinic,"Maybe, if it's easy to use",Doctor consultation,No,"No, I prefer getting tested at a hospital",35 - 44,No
"Enjoying music, laughter, and life",Sometimes,Lack of awareness,"No, I usually hear things well",Sometimes,2-4 hours,4,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Yes
